"ID","Name","Category","Sub-category","Status","Who","What","When (annual window)","Closing date 2026","Where","Cost","The pitch","Age 4-6","Age 7-9","Age 10-12","Age 13-16","States","Fields","Format","Website","Instagram","Facebook","Logo source URL","Cross-promo tier","Cross-promo signal","Cross-promo notes","Build notes","Last verified"
"eckersleys-colouring","Eckersley's Kids Colouring Competition","Art","Brand-led","Confirmed 2026","Aussie kids in two categories - 7 and under, 8-12","Colour in their themed colouring sheet (different theme each round)","Multiple times per year (Easter, holidays, Christmas)","Rolling","National","Free","Eckersley's Art & Craft is Australia's beloved 60-year-old art supplies chain. Kids pick up a free colouring sheet at any Eckersley's store (or download it online), colour it in any way they like - pencils, paints, crayons, anything goes - and submit. Winners scoop $50 Eckersley's gift cards.","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://www.eckersleys.com.au/competitions","@eckersleys","/Eckersleys","https://www.eckersleys.com.au","Tier 1","🟢","Hot lead. Eckersley's is the Aussie art store, with 27 physical stores. Pitch: We feature your colouring comps year-round. Could we explore a Mag Submission Box at your stores? Or stock theINmag at the counter?","","2026-05-07"
"eckersleys-prize","Eckersley's Art & Craft Prize","Art","Brand-led","Annual unconfirmed","Open to all - check current year for kids' categories","Original artwork","Annually","TBC","National","Paid (entry fee)","Launched 2025 to celebrate Eckersley's 60th anniversary. National exhibition at Hazelhurst Arts Centre in September. While the headline prize targets adult artists, this one's worth tracking for any youth/junior categories that may be added.","FALSE","FALSE","FALSE","TRUE","national","art","online,individual-entry","https://www.eckersleys.com.au/eckersley-s-art-craft-prize","@eckersleys","/Eckersleys","https://www.eckersleys.com.au","N/A","","Same brand as above - cross-promo angle covered in Eckersley's Kids Colouring entry.","Annual since 2025. Check current year for kids' divisions.","2026-05-07"
"staedtler-aoty","Staedtler Secondary School Artist of the Year","Art","Brand-led","Confirmed 2026","Aussie secondary school students","Original artwork (any medium)","Term 2, voting in June","TBC","National","Free","Staedtler runs an annual high-school comp with a $5,000 prize pool. Weekly random draw of $200 Staedtler art packs throughout the entry period. Plus a People's Choice voting round. Three professional Australian artists judge.","FALSE","FALSE","FALSE","TRUE","national","art","online,individual-entry","https://au.competitions.staedtler.com/","","","","Tier 3","🟡","Worth a try. Big global brand - probably overkill for a small partnership but worth a feature. List their comp prominently and let them notice us first.","Slightly older audience than our 4-13 core, but the 13-16 tag covers it.","2026-05-07"
"staedtler-wkcd","Staedtler World Kids Colouring Day","Art","Brand-led","Confirmed 2026","Kids 3-12","Colouring on annual theme - 2026 theme is 'Football, Friends & Colouring Fun'","Entries March-May, day is 6 May","TBC","National (international)","Free","A global initiative by Staedtler that's been running for 18 years. Kids submit a drawing on the year's theme, and for every picture submitted Staedtler donates to a Plan International project supporting girls' education - in 2026 this funds education for girls in Malawi.","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://www.staedtler.com/intl/en/company/about-staedtler/corporate-social-responsibility/world-kids-colouring-day/","","","","N/A","","Same brand as above.","","2026-05-07"
"smiggle-christmas","Smiggle Christmas Card Competition","Art","Brand-led","Annual unconfirmed","Aussie kids (broad age range)","Design the front cover of a Smiggle Christmas card","Annually around October-November","TBC","National","Free","The cult Aussie kids' stationery brand runs an annual Christmas card design comp. Kids download a template, draw the front cover, colour it in - the winning design gets featured on actual Smiggle Christmas cards. Prizes typically include vouchers and Smiggle gear.","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://www.smiggle.com.au/shop/en/smiggle/competitions","@smiggle","/Smiggle","https://www.smiggle.com.au","Tier 3","🟡","Worth a try. Smiggle is huge with our age group, but corporate-managed and probably hard to break into. Worth listing prominently and reaching out for product features rather than partnership.","","2026-05-07"
"cartoon-chef","Cartoon Chef Drawing Competition","Art","Brand-led","Confirmed 2026","Aussie kids (Year 1-6 mostly)","Drawing comp with monthly themes","Monthly","Monthly","National","Free","Run by Cartoon Chef - the kids' cartoon-drawing project that started as a regular feature in Auspac newspapers in 2011. Monthly drawing prompts, monthly winners. They also run an annual exhibition at the National Cartoon Gallery in Coffs Harbour. NSW Creative Kids Voucher provider.","FALSE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://cartoonchef.com.au/","","/cartoonchefofficial","https://cartoonchef.com.au","Tier 2","🟢","Hot lead. Small Aussie operator, kids' creativity focus, regular content cadence. Probably very approachable. Pitch: We feature your monthly comps. Could you write a guest blog post about teaching kids to draw cartoons? Or feature theINmag in your next Auspac syndication?","","2026-05-07"
"boathouse-colouring","Boathouse Group Kids Colouring Competition","Art","Brand-led","Annual unconfirmed","Aussie kids","Colour in Boathouse-themed colouring sheet","School holidays","TBC","NSW (Sydney)","Free","The Boathouse Group runs Sydney's beloved waterfront eateries (Manly, Palm Beach, Shelly Beach, Balmoral). Their kids' colouring comp lands during school holidays with a kids hamper as the prize.","TRUE","TRUE","FALSE","FALSE","nsw,regional-only","art","individual-entry","","","/TheBoathouseGroup","","Tier 3","🟡","Worth a try. Local NSW play - might be a fit when Ryan/Tam are travelling through Sydney.","Search 'Boathouse colouring competition' for current details.","2026-05-07"
"lime-tree-colouring","Lime Tree Kids Colouring Competition","Art","Brand-led","Annual unconfirmed","Aussie kids","Colour in their seasonal sheet","School holidays","TBC","National","Free","Lime Tree Kids is the Aussie online toy and craft store run by an Aussie mum. They run a seasonal colouring comp with a $100 voucher prize.","TRUE","TRUE","FALSE","FALSE","national","art","online,individual-entry","","","/LimeTreeKids","","Tier 1","🟢","Hot lead. Aussie family-run business - very theINmag-aligned. Could be a stockist of theINmag too. Worth a DM.","","2026-05-07"
"crayola-acts","Crayola Creative Acts of Color (Open Call)","Art","Brand-led","Year-round","Anyone, any age","Any creative response - song, painting, recipe, dance, code - inspired by Crayola's annual creative theme","Year-round Open Call","Year-round","International","Free","Crayola's 'Creative Acts of Color' is an open call rather than a traditional comp - kids share their creative work on social tagged @Crayola and #StayCreative. Less about winning, more about being part of a global creative movement. Crayola also runs an annual Crayola Creativity Week (typically January).","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://www.crayola.com/news/blog/2025/06/26/crayola-launches-creative-acts-of-color-with-global-open-call","@crayola","/crayola","","Tier 3","🔴","Long shot. Global brand, US-headquartered, low partnership likelihood. List for completeness.","Tag this as 'year-round' rather than chronological - it doesn't need a deadline.","2026-05-07"
"micador-giveaways","Micador Brand Giveaways","Art","Brand-led","Year-round","Aussie families","Various promotions and giveaways","Rolling throughout the year","Rolling","National","Free","Aussie owned art supplies brand. Micador runs regular brand giveaways - 'Win a Year of Micador,' 'Win a Year of early stART,' etc. Sub-brands include early stART (toddlers), Micador jR. (kids), Micador (tweens) and Micador for Artists.","TRUE","TRUE","TRUE","FALSE","national","art","online,individual-entry","https://micador.com.au/competitions","","/micador","https://micador.com.au","Tier 2","🟢","Hot lead. 100% Aussie-owned, kids' creativity focus, multiple sub-brands across our exact age range. Strong fit. Pitch: We list your giveaways year-round. Could we explore a product seeding partnership? Free Micador packs to our published kid contributors?","","2026-05-07"
"bunnings-seasonal","Bunnings Spring/Seasonal Art Competitions","Art","Brand-led","Year-round","School classes (varies by store)","Themed artwork submitted by class","Local-level, varies","Varies","National (varies by store)","Free, materials provided","Bunnings doesn't run a national art comp consistently, but local stores run school-tied art comps - Make Your Classroom Sing Like Spring gave participating schools MDF boards and Chubby Pencil paints, and prizes included garden beds, gardening mix, and $50 Bunnings vouchers. Worth flagging that families/teachers can ask their local store about upcoming comps.","TRUE","TRUE","TRUE","FALSE","national,regional-only","art","school-entry","https://www.bunnings.com.au/services/in-store/diy-workshops","","/Bunnings","https://www.bunnings.com.au","N/A","","","Best listed as a tip/opportunity rather than a single comp tile.","2026-05-07"
"sydney-easter-show","Sydney Royal Easter Show - Junior Arts & Crafts","Art","Royal Show","Confirmed 2026","Aussie kids - junior categories across all ages (typically 5+ to 18)","500+ competition categories - art, photography, pottery, cake decorating, woodwork, quilting, knitting, soft toys","Entries early in the year, judging March-April","TBC","National (NSW)","Paid (entry fees)","Australia's biggest creativity showcase has been running since 1869 - approximately 5,500 exhibits across 500 categories. The Junior Art, Craft & Design competition has hundreds of classes for kids aged 2-20. Winning entries displayed in the Arts & Crafts Pavilion, the third-most-visited pavilion at the Easter Show.","TRUE","TRUE","TRUE","TRUE","national","art","postal,individual-entry","https://www.rasnsw.com.au/competitions/arts-and-crafts/arts-and-crafts-details/","","/RoyalEasterShow","https://www.rasnsw.com.au","N/A","","","","2026-05-07"
"royal-adelaide-junior","Royal Adelaide Show - Junior Art, Craft & Design","Art","Royal Show","Confirmed 2026","Kids 2-20","250+ creative classes - art, craft, design, photography","Entries early in the year, Show in September","TBC","SA","Paid (entry fees)","Australia's largest annual junior art, craft and design display. Real prize money, real exhibition slots in the Goyder Pavilion. Categories cover painting, drawing, digital photography, pottery, sewing, and dozens more.","TRUE","TRUE","TRUE","TRUE","sa","art","postal,individual-entry","https://www.theshow.com.au/competitions/junior-art-craft-design","","/RoyalAdelaideShow","https://www.theshow.com.au","N/A","","","","2026-05-07"
"ekka-junior","Royal Queensland Show (Ekka) - Junior Categories","Art","Royal Show","Confirmed 2026","Aussie kids","21,000+ competition entries across all categories - junior art divisions vary","Show 8-16 August","TBC","QLD","Paid","Queensland's biggest annual event runs one of the country's largest creative competition rosters. Junior art, photography, and craft categories sit alongside woodchop, giant vegetables and livestock. Quintessentially Aussie.","TRUE","TRUE","TRUE","TRUE","qld","art","postal,individual-entry","https://www.ekka.com.au/","@theekka","/RoyalQueenslandShow","https://www.ekka.com.au","N/A","","","","2026-05-07"
"nsw-childrens-week","NSW Children's Week Art Competition","Art","Civic","Annual unconfirmed","Children and young people up to 18 living in NSW","Portrait of someone who champions children's rights","Mid-October","TBC","NSW","Free","Run by the NSW Advocate for Children and Young People. The 2025 theme was 'Everyone should know about children's rights' based on Article 42 of the UN Convention on the Rights of the Child. Group entries allowed and encouraged. Three age categories with 1st, 2nd and 3rd place per category.","TRUE","TRUE","TRUE","TRUE","nsw","art,culture","online,individual-entry","https://www.acyp.nsw.gov.au/get-involved/childrens-week-art-competition","","/ACYPNSW","","N/A","","","2026 dates to confirm.","2026-05-07"
"childrens-rights-qld","Children's Rights Queensland Art Competition","Art","Civic","Annual unconfirmed","Queensland kids and young people","Artwork on rights/respect/love themes","Annually","TBC","QLD","Free","Run by Children's Rights Queensland in partnership with the Queensland Family and Child Commission. 2025 theme was 'Every Queensland child is loved, respected and has their rights upheld.' Over 300 entries received in 2025, with first/second/third place winners sharing $2,000+ in prizes across age groups.","TRUE","TRUE","TRUE","TRUE","qld","art,culture","online,individual-entry","https://childrensrights.org.au/competitions/2025-child-rights-art-competition","","","","N/A","","","2026 details to confirm.","2026-05-07"
"pentel-world-childrens","World Children's Picture Contest (Pentel)","Art","International","Confirmed 2026","Kids globally (typically 4-15)","Painting on annual theme","Entries June - October","TBC","International","Free","Run by Pentel of Japan since 1970. One of the world's oldest and largest international kids' art comps - tens of thousands of entries from over 70 countries each year. Themes vary annually. International recognition for any Aussie kid who places.","TRUE","TRUE","TRUE","TRUE","national","art","postal,individual-entry","","","","","N/A","","","Check Pentel.com or via Australian art studios who facilitate entries.","2026-05-07"
"festival-of-owls","International Festival of Owls Kids' Art Contest","Art","International","Confirmed 2026","Kids 18 and under","Owl-themed artwork","Closes 15 January","2026-01-15","International (postal to USA)","Free","Started in 2004 as a small US festival comp, now over 2,000 entries from dozens of countries. Niche but enthusiastic - a perfect home for kids who love owls (and kids who love owls really love owls). No AI, no adult help. Original art, posted to Minnesota.","TRUE","TRUE","TRUE","TRUE","national","art","postal,individual-entry","https://www.festivalofowls.com/kids-art-contest.html","","","","N/A","","","","2026-05-07"
"embracing-differences","Embracing Our Differences","Art","International","Confirmed 2026","Kids globally","Art and writing on diversity/inclusion themes","Closes October","TBC","International (US-based)","Free","Florida-based but accepts entries globally. Theme is consistent: 'Enriching Lives Through Diversity & Inclusion.' Selected works displayed in an outdoor exhibition seen by 350,000+ visitors annually.","TRUE","TRUE","TRUE","TRUE","national","art,culture","online,individual-entry","","","","","N/A","","","","2026-05-07"
"save-the-frogs","Save The Frogs! Art Contest","Art","International","Confirmed 2026","Kids globally (junior and student categories)","Frog-themed artwork on conservation","Closes November","TBC","International","Free","Frog conservation through art. Junior (under 18) and student categories. Aussie kids welcome. Quirky, niche, surprisingly popular.","TRUE","TRUE","TRUE","TRUE","national","art,environment","online,individual-entry","","","","","N/A","","","","2026-05-07"
"what-matters","Whitlam Institute What Matters? Writing Competition","Writing","","Confirmed 2026","Aussie students Years 5-12 (4 categories)","Up to 600 words of prose or poetry on what matters to you","Closes 15 May","2026-05-15","National","Free","A really special one. The Whitlam Institute asks kids one question - what matters? - and lets them answer however they want. Last year over 6,500 students entered. Year 5/6 winners get $350, a creative writing workshop, and an Allen & Unwin book pack. The overall winner takes home $1,500. Every entry is read by a real human.","FALSE","FALSE","TRUE","TRUE","national","writing,poetry","online,individual-entry","https://www.whitlam.org/what-matters","@whitlam_institute","/WhitlamInstitute","https://www.whitlam.org","N/A","","","","2026-05-07"
"nsw-writeon","NSW WriteOn Competition","Writing","","Confirmed 2026","NSW primary students Years 1-6 (incl. home-schooled)","Imaginative text up to 500 words from provided stimulus","Opens 23 March, closes 19 June","2026-06-19","NSW","Free","The annual creative writing comp run by the NSW Department of Education in partnership with the State Library. The 2026 stimulus: 'It was a small thing, but it made a difference.' Winning entries are published in the 'Best of WriteOn' anthology - a real book, kids' words in print.","TRUE","TRUE","TRUE","FALSE","nsw","writing","online,school-entry","https://www.nsw.gov.au/education-and-training/nesa/awards-and-events/writeon-competition","","","","N/A","","","","2026-05-07"
"dorothea-mackellar","Dorothea Mackellar Poetry Awards","Writing","","Confirmed 2026","Aussie students K-Year 12","Poem max 80 lines, any subject (optional theme)","Closes 30 June","2026-06-30","National","Paid (small fee)","One of Australia's longest-running and most prestigious kids' poetry comps, named after the woman who wrote 'My Country.' 2026's optional theme is The Traveller. Cash prizes plus an annual anthology that publishes winners, runners-up, shortlisted and commended poems. Entries can be solo, group, or whole-class. No AI.","TRUE","TRUE","TRUE","TRUE","national","writing,poetry","online,individual-entry","https://dorothea.com.au/entry-information/","","/dorothea.poetry","https://dorothea.com.au","N/A","","","Be transparent about the entry fee in the snippet.","2026-05-07"
"better-read-kids","Better Read Kids Writing Competition","Writing","","Confirmed 2026","Kids 6-17 in three age categories (6-9, 10-12, 13-17)","Short story, poem or comic, max 300 words","Closes 1 August","2026-08-01","National","Free","Run by Sydney's beloved Better Read Than Dead bookstore. The 2026 theme is 'metamorphosis.' Every entry gets published in an anthology - so just by entering, kids become published writers. Category winners score a $100 Better Read voucher, runners-up get $50.","FALSE","TRUE","TRUE","TRUE","national","writing,poetry","online,individual-entry","https://www.betterreadkids.com/2026-writing-competition","@betterreadthandead","/betterreadthandead","https://www.betterreadkids.com","N/A","","","","2026-05-07"
"whitsunday-voices","Whitsunday Voices Short Story Competition","Writing","","Confirmed 2026","Students Grades 3-12 (5 grade categories)","Short story on any topic","Closes 30 April","2026-04-30","National","Free","Cash prizes for first, second and third place in each age category. Word limits step up with year level - 300-400 for Grades 3-4, up to 1,200 for Years 11-12. Pure creative freedom on subject matter. Strictly no AI.","FALSE","TRUE","TRUE","TRUE","national","writing","online,individual-entry","https://www.whitsundayvoices.com.au/short-story-competition-copy","","/whitsundayvoices","https://www.whitsundayvoices.com.au","N/A","","","","2026-05-07"
"laura-literary","Laura Literary Awards (Prose & Poetry)","Writing","","Confirmed 2026","Primary students 5-12 in two categories (5-8, 9-12)","Short story up to 800 words OR poem up to 60 lines","Closes 8 May","2026-05-08","National","Free for primary","Run by the Rocky River Writers Club out of country SA. A lovely small-but-mighty comp with two streams - Prose and Poetry (CJ Dennis Poetry Awards). $25 to Junior winners, $15 to Junior Primary. Note: entries must be POSTED, not emailed.","TRUE","TRUE","TRUE","FALSE","national","writing,poetry","postal,individual-entry","https://rockyriverriters.club","","","","N/A","","","Important to flag the postal-only requirement clearly.","2026-05-07"
"furphy-junior","Furphy Story Junior and Youth Competition","Writing","","Confirmed 2026","Kids up to 12 (Junior), regional VIC only - Goulburn Valley, Moira, Strathbogie, Mitchell, Murrindindi, Benalla or Campaspe Shires","Short story (up to 2,000 words) or poetry (up to 20 lines)","Closes 31 May","2026-05-31","VIC - regional only","Free","A regional Victoria gem. 1st prize $300, 2nd $100, 3rd $50 - in both story and poetry. Generous prize money for a regional comp.","TRUE","TRUE","TRUE","FALSE","vic,regional-only","writing,poetry","individual-entry","https://www.furphystory.com.au","","/furphystory","https://www.furphystory.com.au","N/A","","","","2026-05-07"
"cbca-wa-storybook","CBCA WA's Make Your Own Storybook Awards","Writing","","Confirmed 2026","WA students Pre-Primary to Year 8","Original handbound picture/story book up to 5,000 words","Closes 5 June","2026-06-05","WA","Free","Make a real book - cover to cover, original text, original illustrations, hand-bound. Solo or duo. Run by the Children's Book Council of Australia (WA). The most 'you've actually made a book' feel of any kids' comp out there. Strictly no AI.","TRUE","TRUE","TRUE","TRUE","wa","writing,art","postal,individual-entry","https://wa.cbca.org.au/entry-information.html","","/cbcawa","https://wa.cbca.org.au","N/A","","","","2026-05-07"
"randolph-stow","Randolph Stow Young Writers Award","Writing","","Confirmed 2026","Midwest and Gascoyne WA students (Years 3-6 prose/poetry)","Prose up to 1,200 words OR poetry (no word limit)","Opens 20 April, closes 3 July","2026-07-03","WA - regional only","Free","Cash prizes for primary writers in regional WA. Winners get a perpetual trophy displayed in their school until end of Term 2 the following year. Two students from Years 6-11 also win passes to The Literature Centre's Young Writers Collective Program.","FALSE","TRUE","TRUE","FALSE","wa,regional-only","writing,poetry","individual-entry","https://library.cgg.wa.gov.au/kids/randolph-stow-young-writers-awards.aspx","","","","N/A","","","","2026-05-07"
"spywa","South Perth Young Writers Award (SPYWA)","Writing","","Confirmed 2026","Students Years 1-10 living or attending school in City of South Perth WA","Short story up to 1,500 words","Closes 18 May","2026-05-18","WA - regional only","Free","Shortlisted entrants score a one-on-one workshop with a published local author for tailored feedback. Finalists get prizes up to $150 and have their work published in a SPYWA Anthology - one copy gifted to each finalist, one to their school library, one held in City of South Perth Libraries.","TRUE","TRUE","TRUE","TRUE","wa,regional-only","writing","individual-entry","https://southperth.wa.gov.au/community/libraries/about-our-libraries/south-perth-young-writers-award","","","","N/A","","","","2026-05-07"
"golden-pen","The Golden Pen (Scribblers Festival)","Writing","","Confirmed 2026","WA students Years 4-12 in three categories (Junior 4-6, Middle 7-8, Senior 9-12)","Any format - poetry, prose, comics - up to 2,000 words or 6 A4 pages","Closes 3 March","2026-03-03","WA","Free","Run by Scribblers Festival, Perth's kids' lit festival. The 2026 theme is Metamorphosis. Overall winner gets an e-reader and book pack ($249 value). Shortlisted entrants get 6-month book subscriptions. Bonus: classroom entries of 5+ can win a workshop with a Scribblers creative.","FALSE","TRUE","TRUE","TRUE","wa","writing,poetry","online,individual-entry","https://www.scribblersfestival.com.au/golden-pen","@scribblersfestival","","https://www.scribblersfestival.com.au","N/A","","","","2026-05-07"
"cya-hatchlings","CYA Conference Hatchlings Award","Writing","","Confirmed 2026","Kids 8-18","Picture books, chapter books, middle grade or YA","Closes mid-April","2026-04-12","National","Free","Run by the CYA Conference (Children's & Young Adults' writers conference). Solid cash prizes - $100 first, $60 second, $40 third. Categories vary by writing form, with word counts to match.","FALSE","TRUE","TRUE","TRUE","national","writing","online,individual-entry","","","/CYAConference","","N/A","","","Search 'CYA Conference Hatchlings' for direct entry link.","2026-05-07"
"book-links","Book Links Short Story Writing Competition","Writing","","Annual unconfirmed","Years 4-6","Short story 500-1,000 words","Closes mid-September","TBC","National","Free","A nice low-key one for upper primary writers. $100 prize plus the winning story published on the Book Links website. Open theme.","FALSE","TRUE","TRUE","FALSE","national","writing","online,individual-entry","https://booklinks.org.au/childrens-short-story-competition-guidelines/","","/booklinksqld","","N/A","","","","2026-05-07"
"just-write-sa","Just Write - For Kids (SA Public Libraries)","Writing","","Confirmed 2026","Children who are members of the SA Public Library network in two categories (9-10, 11-13)","Short story","Closes 18 January","2026-01-18","SA","Free","Run by Marion City Council's library network. First prize up to $200, second up to $100. Word limits 300-750 (9-10s) or 500-1,000 (11-13s). Open theme.","FALSE","TRUE","TRUE","FALSE","sa","writing","online,individual-entry","https://www.marion.sa.gov.au/venues-and-facilities/libraries/whats-on/just-write-for-kids","","/cityofmarion","","N/A","","","","2026-05-07"
